ID,Status,Track,Version,Album,Alt. Title,Notes
_RESERVED,Finished
_RESERVED,Minor Improvements Needed
_RESERVED,Improvements Needed
_RESERVED,Remaster Needed
_RESERVED,Unfinished
_RESERVED,Not Started
_RESERVED,Obsolete
=======,=======,Bejeweled
bej3_lightning,Unfinished,Bejeweled 3 – Lightning,v1,Bejeweled – Fan-Made
bej3_zen2,Minor Improvements Needed,"Bejeweled 3 – Zen, Part 2",v1,Bejeweled – Fan-Made
=======,=======,Bombs vs. Sleepwalkers
bvs1_reg_pt_3,Obsolete,"Regular Battle in Present Time, Part 3",v1,Bombs vs. Sleepwalkers [Legacy],Sleepwalkers are Raidin'
bvs1_reg_pt_3,Improvements Needed,"Regular Battle in Present Time, Part 3",v2,Bombs vs. Sleepwalkers [WIP 1],Sleepwalkers are Raidin'
bvs1_reg_pt_3,Not Started,"Regular Battle in Present Time, Part 3 (Lite Version)",v2_lite,Bombs vs. Sleepwalkers [WIP 1],Sleepwalkers are Raidin'
bvs1_reg_2038_f,Improvements Needed,"Regular Battle in 2038, Final Part",v1,Bombs vs. Sleepwalkers [WIP 1]
bvs1_reg_2038_f,Not Started,"Regular Battle in 2038, Final Part (Lite Version)",v1_lite,Bombs vs. Sleepwalkers [WIP 1]
#TBA
=======,=======,Bombs vs. Sleepwalkers 2
#TBA
=======,=======,Bombs vs. Sleepwalkers: Origins
#TBA
=======,=======,Bombs vs. Sleepwalkers 3D
#TBA
=======,=======,Crash Bandicoot
#TBA
=======,=======,Doctor Who
#TBA
=======,=======,Doki Doki Literature Club!
ddlcnh_main,Remaster Needed,"Main Theme of Doki Doki Literature Club! New Heading",v1,Doki Doki Literature Club! New Heading,The New Heading
ddlcnh_lisa,Remaster Needed,"Lisa's Theme",v1,Doki Doki Literature Club! New Heading
ddlcnh_lisa,Remaster Needed,"Lisa's Theme (Enhanced)",v1_enhanced,Doki Doki Literature Club! New Heading
ddlcnh_madlisa,Remaster Needed,"Mad Lisa",v1,Doki Doki Literature Club! New Heading
=======,=======,EDimensions
#TBA
=======,=======,Fan-Made
#TBA
=======,=======,Jingles
#TBA
=======,=======,MIDI Played on
midipo_sek800i_bvs1_reg_2038_f,Improvements Needed,"Regular Battle in 2038, Final Part (Bombs vs. Sleepwalkers OST, Played on Sony Ericsson K800i)",v1,MIDI Played on Sony Ericsson Phones
=======,=======,More
#TBA
=======,=======,Plants vs. Zombies
pvzrt,#TBA
pvzwt_dls_cys,Finished,"Demo Level Soundtrack, Choose Your Seeds",v1,Plants vs. Zombies: World Tour
pvzwt_dls_1,Finished,"Demo Level Soundtrack, First Wave",v1,Plants vs. Zombies: World Tour
pvzwt_dls_1,Finished,"Demo Level Soundtrack, First Wave",v2,Plants vs. Zombies: World Tour,World Tour Redux
pvzwt_dls_f,Finished,"Demo Level Soundtrack, Final Wave",v1,Plants vs. Zombies: World Tour
pvzwt_dls_f,Finished,"Demo Level Soundtrack, Final Wave",v2,Plants vs. Zombies: World Tour,Running for Adventure!
pvzwt_dls_w,Finished,"Demo Level Soundtrack, Win",v1,Plants vs. Zombies: World Tour
pvzwt_dls_r,Finished,"Demo Level Soundtrack, Reward",v1,Plants vs. Zombies: World Tour
pvzwt_dls_z,Finished,"Demo Level Soundtrack, THE ZOMBIES ATE YOUR BRAINS!",v1,Plants vs. Zombies: World Tour
#TBA
=======,=======,Sonic the Hedgehog
#TBA